STATION,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00013882,5/16/1992,0,0,0,70.5,82,59
USW00013882,5/17/1992,0,0,0,71,84,58
USW00013882,5/18/1992,0,0,0,73.5,87,60
USW00013882,5/19/1992,0.13,0,0,74,87,61
USW00013882,5/20/1992,0,0,0,69.5,77,62
USW00013882,5/21/1992,0.02,0,0,70,80,60
USW00013882,5/22/1992,0,0,0,70,83,57
USW00013882,5/23/1992,0,0,0,68.5,86,51
USW00013882,5/24/1992,0.36,0,0,69,82,56
USW00013882,5/25/1992,0,0,0,62.5,70,55
USW00013882,5/26/1992,0.02,0,0,61,68,54
USW00013882,5/27/1992,0,0,0,60.5,73,48
USW00013882,5/28/1992,0.02,0,0,57,60,54
USW00013882,5/29/1992,0.36,0,0,57.5,61,54
USW00013882,5/30/1992,0,0,0,60.5,67,54
USW00013882,5/31/1992,0,0,0,62,76,48
USW00013882,6/1/1992,0,0,0,61.5,73,50
USW00013882,6/2/1992,0,0,0,65,78,52
USW00013882,6/3/1992,1.37,0,0,64.5,67,62
USW00013882,6/4/1992,1.24,0,0,66,72,60
USW00013882,6/5/1992,0,0,0,72,81,63
USW00013882,6/6/1992,0,0,0,72,85,59
USW00013882,6/7/1992,0.01,0,0,75.5,86,65
USW00013882,6/8/1992,0.63,0,0,73.5,79,68
USW00013882,6/9/1992,0.75,0,0,74.5,80,69
USW00013882,6/10/1992,0,0,0,76.5,87,66
USW00013882,6/11/1992,0.05,0,0,72.5,80,65
USW00013882,6/12/1992,0.83,0,0,64.5,68,61
USW00013882,6/13/1992,0.17,0,0,67,71,63
USW00013882,6/14/1992,0.15,0,0,72,79,65
USW00013882,6/15/1992,0,0,0,75,87,63
USW00013882,6/16/1992,0,0,0,77.5,89,66
USW00013882,6/17/1992,0,0,0,76,84,68
USW00013882,6/18/1992,1.5,0,0,72,79,65
USW00013882,6/19/1992,0,0,0,74,87,61
USW00013882,6/20/1992,0.06,0,0,74,87,61
USW00013882,6/21/1992,0,0,0,66.5,75,58
USW00013882,6/22/1992,0,0,0,64.5,78,51
USW00013882,6/23/1992,0,0,0,68.5,82,55
USW00013882,6/24/1992,0,0,0,73.5,86,61
USW00013882,6/25/1992,0.6,0,0,77,89,65
USW00013882,6/26/1992,0.01,0,0,73.5,82,65
USW00013882,6/27/1992,0,0,0,73,83,63
USW00013882,6/28/1992,0,0,0,69.5,81,58
USW00013882,6/29/1992,0,0,0,77.5,87,68
USW00013882,6/30/1992,1.5,0,0,71.5,76,67
USW00013882,7/1/1992,0.1,0,0,76.5,82,71
USW00013882,7/2/1992,0.33,0,0,77.5,84,71
USW00013882,7/3/1992,0.11,0,0,76.5,83,70
USW00013882,7/4/1992,0,0,0,77,87,67
USW00013882,7/5/1992,0.21,0,0,76.5,86,67
USW00013882,7/6/1992,0,0,0,77.5,87,68
USW00013882,7/7/1992,0,0,0,78,90,66
USW00013882,7/8/1992,0,0,0,80,91,69
USW00013882,7/9/1992,0,0,0,78.5,91,66
USW00013882,7/10/1992,0.04,0,0,80,91,69
USW00013882,7/11/1992,0,0,0,81.5,92,71
USW00013882,7/12/1992,0,0,0,81,93,69
USW00013882,7/13/1992,0,0,0,82.5,94,71
USW00013882,7/14/1992,0.06,0,0,80,89,71
USW00013882,7/15/1992,0.3,0,0,76,80,72
USW00013882,7/16/1992,0,0,0,77,85,69
USW00013882,7/17/1992,0.16,0,0,78,87,69
USW00013882,7/18/1992,0.04,0,0,76,85,67
USW00013882,7/19/1992,0,0,0,77,89,65
USW00013882,7/20/1992,0,0,0,78,91,65
USW00013882,7/21/1992,2.52,0,0,79,91,67
USW00013882,7/22/1992,0.22,0,0,76.5,85,68
USW00013882,7/23/1992,0.02,0,0,78,85,71
USW00013882,7/24/1992,0.38,0,0,78.5,86,71
USW00013882,7/25/1992,0,0,0,79.5,90,69
USW00013882,7/26/1992,0.54,0,0,78.5,86,71
USW00013882,7/27/1992,0.17,0,0,79,86,72
USW00013882,7/28/1992,0,0,0,76.5,87,66
USW00013882,7/29/1992,0,0,0,78,89,67
USW00013882,7/30/1992,0.01,0,0,78,86,70
USW00013882,7/31/1992,0.12,0,0,75.5,83,68
USW00013882,8/1/1992,0,0,0,72.5,83,62
USW00013882,8/2/1992,0,0,0,73,84,62
USW00013882,8/3/1992,0,0,0,73.5,85,62
USW00013882,8/4/1992,0,0,0,73.5,82,65
USW00013882,8/5/1992,0,0,0,76,87,65
USW00013882,8/6/1992,0.09,0,0,72.5,77,68
USW00013882,8/7/1992,0,0,0,74,79,69
USW00013882,8/8/1992,0.14,0,0,76.5,86,67
USW00013882,8/9/1992,0,0,0,74.5,81,68
USW00013882,8/10/1992,0.17,0,0,79,91,67
USW00013882,8/11/1992,0,0,0,77.5,90,65
USW00013882,8/12/1992,0.44,0,0,77,84,70
USW00013882,8/13/1992,0.12,0,0,74.5,81,68
USW00013882,8/14/1992,0,0,0,75,84,66
USW00013882,8/15/1992,0,0,0,70.5,80,61
USW00013882,8/16/1992,0,0,0,69.5,82,57
USW00013882,8/17/1992,0,0,0,73.5,83,64
USW00013882,8/18/1992,0,0,0,72.5,83,62
USW00013882,8/19/1992,0,0,0,73,85,61
USW00013882,8/20/1992,0,0,0,74.5,85,64
USW00013882,8/21/1992,0.61,0,0,70.5,76,65
USW00013882,8/22/1992,0.44,0,0,73.5,79,68
USW00013882,8/23/1992,0.23,0,0,74.5,81,68
USW00013882,8/24/1992,0,0,0,75.5,86,65
USW00013882,8/25/1992,0,0,0,77,88,66
USW00013882,8/26/1992,0,0,0,76,85,67
USW00013882,8/27/1992,0.76,0,0,75.5,83,68
USW00013882,8/28/1992,0.07,0,0,67,77,57
USW00013882,8/29/1992,0,0,0,66,78,54
USW00013882,8/30/1992,0,0,0,68,83,53
USW00013882,8/31/1992,0,0,0,72.5,86,59
USW00013882,9/1/1992,0,0,0,73,85,61
USW00013882,9/2/1992,0.61,0,0,73.5,83,64
USW00013882,9/3/1992,0.91,0,0,73.5,82,65
USW00013882,9/4/1992,0.65,0,0,70,74,66
USW00013882,9/5/1992,0,0,0,74,81,67
USW00013882,9/6/1992,0,0,0,77,85,69
USW00013882,9/7/1992,0,0,0,77.5,88,67
USW00013882,9/8/1992,0,0,0,77,87,67
USW00013882,9/9/1992,0,0,0,77,88,66
USW00013882,9/10/1992,0.34,0,0,77,87,67
USW00013882,9/11/1992,0,0,0,70,80,60
USW00013882,9/12/1992,0,0,0,69,79,59
USW00013882,9/13/1992,0,0,0,71,80,62
USW00013882,9/14/1992,0,0,0,71.5,84,59
USW00013882,9/15/1992,0,0,0,71,82,60
USW00013882,9/16/1992,0,0,0,69.5,84,55
USW00013882,9/17/1992,0,0,0,72.5,83,62
USW00013882,9/18/1992,0.37,0,0,73,78,68
USW00013882,9/19/1992,0.03,0,0,76,84,68
USW00013882,9/20/1992,0,0,0,72,82,62
USW00013882,9/21/1992,0,0,0,77,84,70
USW00013882,9/22/1992,0.83,0,0,74.5,80,69
USW00013882,9/23/1992,0.46,0,0,64,69,59
USW00013882,9/24/1992,0,0,0,64.5,71,58
USW00013882,9/25/1992,0,0,0,64.5,76,53
USW00013882,9/26/1992,0.27,0,0,66,70,62
USW00013882,9/27/1992,0.17,0,0,71.5,79,64
USW00013882,9/28/1992,0.07,0,0,69,79,59
USW00013882,9/29/1992,0,0,0,62.5,72,53
USW00013882,9/30/1992,0,0,0,59.5,70,49
USW00013882,10/1/1992,0,0,0,59,72,46
USW00013882,10/2/1992,0,0,0,59,73,45
USW00013882,10/3/1992,0.17,0,0,57,66,48
USW00013882,10/4/1992,1.8,0,0,59.5,62,57
USW00013882,10/5/1992,0.32,0,0,62.5,72,53
USW00013882,10/6/1992,0,0,0,59,68,50
USW00013882,10/7/1992,0,0,0,56,70,42
USW00013882,10/8/1992,0.01,0,0,62.5,69,56
USW00013882,10/9/1992,0.17,0,0,58,70,46
USW00013882,10/10/1992,0.36,0,0,55.5,70,41
USW00013882,10/11/1992,0,0,0,54.5,66,43
USW00013882,10/12/1992,0,0,0,53,68,38
USW00013882,10/13/1992,0,0,0,60,76,44
USW00013882,10/14/1992,0,0,0,63.5,81,46
USW00013882,10/15/1992,0,0,0,63.5,78,49
USW00013882,10/16/1992,0.04,0,0,59.5,67,52
USW00013882,10/17/1992,0,0,0,54,63,45
USW00013882,10/18/1992,0,0,0,53,65,41
USW00013882,10/19/1992,0,0,0,46,57,35
USW00013882,10/20/1992,0,0,0,49,65,33
USW00013882,10/21/1992,0,0,0,60,76,44
USW00013882,10/22/1992,0,0,0,62.5,75,50
USW00013882,10/23/1992,0,0,0,60,76,44
USW00013882,10/24/1992,0,0,0,61.5,79,44
USW00013882,10/25/1992,0,0,0,59,72,46
USW00013882,10/26/1992,0,0,0,55.5,73,38
USW00013882,10/27/1992,0.03,0,0,59.5,69,50
USW00013882,10/28/1992,0.28,0,0,64.5,73,56
USW00013882,10/29/1992,0,0,0,61,71,51
USW00013882,10/30/1992,1.3,0,0,56,61,51
USW00013882,10/31/1992,0,0,0,63,73,53
USW00013882,11/1/1992,0.05,0,0,62,70,54
USW00013882,11/2/1992,0.94,0,0,60,72,48
USW00013882,11/3/1992,0,0,0,57.5,74,41
USW00013882,11/4/1992,0.6,0,0,58.5,66,51
USW00013882,11/5/1992,0.18,0,0,45,51,39
USW00013882,11/6/1992,0,0,0,39,41,37
USW00013882,11/7/1992,0,0,0,39,47,31
USW00013882,11/8/1992,0,0,0,41,54,28
USW00013882,11/9/1992,0,0,0,44.5,59,30
USW00013882,11/10/1992,0,0,0,47,61,33
USW00013882,11/11/1992,0,0,0,57,67,47
USW00013882,11/12/1992,1.21,0,0,56.5,66,47
USW00013882,11/13/1992,0,0,0,47,57,37
USW00013882,11/14/1992,0,0,0,43.5,57,30
USW00013882,11/15/1992,0,0,0,41.5,51,32
USW00013882,11/16/1992,0,0,0,42.5,56,29
USW00013882,11/17/1992,0,0,0,48.5,65,32
USW00013882,11/18/1992,0,0,0,51,69,33
USW00013882,11/19/1992,0,0,0,52.5,71,34
USW00013882,11/20/1992,0.02,0,0,52,69,35
USW00013882,11/21/1992,0.66,0,0,55.5,58,53
USW00013882,11/22/1992,1.39,0,0,63,71,55
USW00013882,11/23/1992,0,0,0,52.5,58,47
USW00013882,11/24/1992,0.78,0,0,52.5,58,47
USW00013882,11/25/1992,0.05,0,0,60.5,65,56
USW00013882,11/26/1992,0,0,0,49,61,37
USW00013882,11/27/1992,0,0,0,40.5,45,36
USW00013882,11/28/1992,0,0,0,41,44,38
USW00013882,11/29/1992,0,0,0,39,48,30
USW00013882,11/30/1992,0,0,0,38.5,51,26
USW00013882,12/1/1992,0,0,0,41,52,30
USW00013882,12/2/1992,0,0,0,43.5,52,35
USW00013882,12/3/1992,0,0,0,39.5,52,27
USW00013882,12/4/1992,0.43,0,0,44,47,41
USW00013882,12/5/1992,0,0,0,36.5,45,28
USW00013882,12/6/1992,0.12,0,0,31,35,27
USW00013882,12/7/1992,0.02,0,0,39.5,44,35
USW00013882,12/8/1992,0,0,0,36.5,41,32
USW00013882,12/9/1992,0.12,0,0,36.5,41,32
USW00013882,12/10/1992,0.32,0,0,41.5,45,38
USW00013882,12/11/1992,0,0,0,41.5,45,38
USW00013882,12/12/1992,0,0,0,40,45,35
USW00013882,12/13/1992,0,0,0,44,54,34
USW00013882,12/14/1992,0,0,0,41,52,30
USW00013882,12/15/1992,0.05,0,0,42,51,33
USW00013882,12/16/1992,0.9,0,0,47.5,49,46
USW00013882,12/17/1992,0.43,0,0,48.5,59,38
USW00013882,12/18/1992,0,0,0,43.5,57,30
USW00013882,12/19/1992,0.09,0,0,47,59,35
USW00013882,12/20/1992,1.53,0,0,51,57,45
USW00013882,12/21/1992,0.11,0,0,43.5,47,40
USW00013882,12/22/1992,0.1,0,0,47.5,51,44
USW00013882,12/23/1992,0.52,0,0,53.5,63,44
USW00013882,12/24/1992,0,0,0,36,45,27
USW00013882,12/25/1992,0.05,0,0,33.5,43,24
USW00013882,12/26/1992,0,0,0,40.5,47,34
USW00013882,12/27/1992,0.72,0,0,35.5,38,33
USW00013882,12/28/1992,0.08,0,0,43,48,38
USW00013882,12/29/1992,0.01,0,0,47.5,51,44
USW00013882,12/30/1992,0,0,0,47.5,51,44
USW00013882,12/31/1992,0,0,0,52.5,62,43
USW00013882,1/1/1993,0,0,0,49,58,40
USW00013882,1/2/1993,0,0,0,46,55,37
USW00013882,1/3/1993,0,0,0,53.5,60,47
USW00013882,1/4/1993,0.44,0,0,55.5,63,48
USW00013882,1/5/1993,0.16,0,0,51.5,61,42
USW00013882,1/6/1993,0,0,0,45.5,51,40
USW00013882,1/7/1993,0.28,0,0,48.5,53,44
USW00013882,1/8/1993,0.45,0,0,50,53,47
USW00013882,1/9/1993,0,0,0,49,52,46
USW00013882,1/10/1993,0.01,0,0,47.5,50,45
USW00013882,1/11/1993,0.85,0,0,47.5,49,46
USW00013882,1/12/1993,0.34,0,0,51.5,55,48
USW00013882,1/13/1993,0,0,0,48.5,60,37
USW00013882,1/14/1993,0,0,0,38,46,30
USW00013882,1/15/1993,0.16,0,0,40,45,35
USW00013882,1/16/1993,0,0,0,46.5,55,38
USW00013882,1/17/1993,0,0,0,48,60,36
USW00013882,1/18/1993,0.02,0,0,39,43,35
USW00013882,1/19/1993,0.18,0,0,40.5,42,39
USW00013882,1/20/1993,0.29,0,0,43.5,45,42
USW00013882,1/21/1993,0.52,0,0,46,49,43
USW00013882,1/22/1993,0,0,0,45,55,35
USW00013882,1/23/1993,0,0,0,47,63,31
USW00013882,1/24/1993,1.46,0,0,44.5,55,34
USW00013882,1/25/1993,0,0,0,39,48,30
USW00013882,1/26/1993,0,0,0,41.5,53,30
USW00013882,1/27/1993,0,0,0,41.5,59,24
USW00013882,1/28/1993,0,0,0,46,65,27
USW00013882,1/29/1993,0,0,0,45.5,55,36
USW00013882,1/30/1993,0,0,0,42.5,57,28
USW00013882,1/31/1993,0,0,0,43,63,23
USW00013882,2/1/1993,0,0,0,48,59,37
USW00013882,2/2/1993,0,0,0,41.5,54,29
USW00013882,2/3/1993,0,0,0,40,58,22
USW00013882,2/4/1993,0,0,0,44,61,27
USW00013882,2/5/1993,0,0,0,46,63,29
USW00013882,2/6/1993,0,0,0,47.5,65,30
USW00013882,2/7/1993,0,0,0,48.5,67,30
USW00013882,2/8/1993,0,0,0,49,68,30
USW00013882,2/9/1993,0,0,0,49,67,31
USW00013882,2/10/1993,0,0,0,54,58,50
USW00013882,2/11/1993,1.04,0,0,51.5,55,48
USW00013882,2/12/1993,0.39,0,0,57,65,49
USW00013882,2/13/1993,0,0,0,45,49,41
USW00013882,2/14/1993,0,0,0,39.5,47,32
USW00013882,2/15/1993,0.02,0,0,38,48,28
USW00013882,2/16/1993,0.75,0,0,46,56,36
USW00013882,2/17/1993,0,0,0,36.5,41,32
USW00013882,2/18/1993,0,0,0,27,34,20
USW00013882,2/19/1993,0,0,0,29,41,17
USW00013882,2/20/1993,0,0,0,41.5,45,38
USW00013882,2/21/1993,0.75,0,0,57,72,42
USW00013882,2/22/1993,0,0,0,50,62,38
USW00013882,2/23/1993,0,0,0,39,49,29
USW00013882,2/24/1993,0,0,0,34,43,25
USW00013882,2/25/1993,0.48,2.7,0,34,38,30
USW00013882,2/26/1993,0.26,0,0,39,45,33
USW00013882,2/27/1993,0,0,0,34.5,40,29
USW00013882,2/28/1993,0,0,0,37.5,51,24
USW00013882,3/1/1993,0,0,0,43,62,24
USW00013882,3/2/1993,0.51,0,0,45.5,50,41
USW00013882,3/3/1993,0.83,0,0,50.5,52,49
USW00013882,3/4/1993,0.13,0,0,47,50,44
USW00013882,3/5/1993,0.03,0,0,41,44,38
USW00013882,3/6/1993,0,0,0,43.5,57,30
USW00013882,3/7/1993,0.01,0,0,42.5,56,29
USW00013882,3/8/1993,0,0,0,51,68,34
USW00013882,3/9/1993,0,0,0,51.5,65,38
USW00013882,3/10/1993,0,0,0,57.5,75,40
USW00013882,3/11/1993,0,0,0,47,57,37
USW00013882,3/12/1993,0.44,1.5,0,38.5,43,34
USW00013882,3/13/1993,1,18.5,10,29.5,35,24
USW00013882,3/14/1993,0,0,19,24.5,33,16
USW00013882,3/15/1993,0,0,8,28.5,46,11
USW00013882,3/16/1993,0.1,0,6,43.5,50,37
USW00013882,3/17/1993,0.33,0,1,45.5,52,39
USW00013882,3/18/1993,0,0,0,42.5,51,34
USW00013882,3/19/1993,0,0,0,43.5,54,33
USW00013882,3/20/1993,0.04,0,0,48,53,43
USW00013882,3/21/1993,0,0,0,54.5,64,45
USW00013882,3/22/1993,0.05,0,0,53,60,46
USW00013882,3/23/1993,1.93,0,0,62.5,71,54
USW00013882,3/24/1993,0,0,0,56,66,46
USW00013882,3/25/1993,0,0,0,59,73,45
USW00013882,3/26/1993,1.48,0,0,54.5,60,49
USW00013882,3/27/1993,0.12,0,0,56,59,53
USW00013882,3/28/1993,0,0,0,60.5,71,50
USW00013882,3/29/1993,0,0,0,60,78,42
USW00013882,3/30/1993,0,0,0,64.5,83,46
USW00013882,3/31/1993,0.4,0,0,68.5,78,59
USW00013882,4/1/1993,0.01,0,0,53.5,60,47
USW00013882,4/2/1993,0.01,0,0,42.5,47,38
USW00013882,4/3/1993,0,0,0,48.5,64,33
USW00013882,4/4/1993,0.05,0,0,51,57,45
USW00013882,4/5/1993,0.6,0,0,50.5,53,48
USW00013882,4/6/1993,0.03,0,0,54.5,64,45
USW00013882,4/7/1993,0,0,0,56.5,71,42
USW00013882,4/8/1993,0,0,0,61.5,73,50
USW00013882,4/9/1993,0.49,0,0,60,67,53
USW00013882,4/10/1993,0,0,0,60.5,73,48
USW00013882,4/11/1993,0,0,0,62.5,82,43
USW00013882,4/12/1993,0,0,0,66.5,83,50
USW00013882,4/13/1993,0,0,0,68,85,51
USW00013882,4/14/1993,0,0,0,68.5,84,53
USW00013882,4/15/1993,0.42,0,0,63,73,53
USW00013882,4/16/1993,0,0,0,52.5,57,48
USW00013882,4/17/1993,0,0,0,54,69,39
USW00013882,4/18/1993,0,0,0,58.5,72,45
USW00013882,4/19/1993,0,0,0,63,79,47
USW00013882,4/20/1993,0.76,0,0,64.5,70,59
USW00013882,4/21/1993,0,0,0,52.5,61,44
USW00013882,4/22/1993,0,0,0,51,62,40
USW00013882,4/23/1993,0,0,0,55,73,37
USW00013882,4/24/1993,0,0,0,63,77,49
USW00013882,4/25/1993,0.95,0,0,67.5,82,53
USW00013882,4/26/1993,0.02,0,0,61.5,71,52
USW00013882,4/27/1993,0,0,0,62,76,48
USW00013882,4/28/1993,0,0,0,59.5,77,42
USW00013882,4/29/1993,0,0,0,61.5,79,44
USW00013882,4/30/1993,0,0,0,61.5,70,53
USW00013882,5/1/1993,0,0,0,69.5,80,59
USW00013882,5/2/1993,0.06,0,0,66.5,69,64
USW00013882,5/3/1993,0.29,0,0,66.5,70,63
USW00013882,5/4/1993,0.4,0,0,69.5,79,60
USW00013882,5/5/1993,0,0,0,69,85,53
USW00013882,5/6/1993,0,0,0,73,89,57
USW00013882,5/7/1993,0,0,0,73,89,57
USW00013882,5/8/1993,0.06,0,0,72.5,87,58
USW00013882,5/9/1993,0,0,0,72.5,85,60
USW00013882,5/10/1993,0,0,0,71.5,86,57
USW00013882,5/11/1993,0,0,0,71.5,86,57
USW00013882,5/12/1993,0.15,0,0,69.5,80,59
USW00013882,5/13/1993,0.22,0,0,63.5,69,58
USW00013882,5/14/1993,0,0,0,65.5,79,52
USW00013882,5/15/1993,0,0,0,66,82,50
USW00013882,5/16/1993,0.15,0,0,69.5,85,54
USW00013882,5/17/1993,0.27,0,0,75.5,85,66
USW00013882,5/18/1993,0,0,0,76,88,64
USW00013882,5/19/1993,0.08,0,0,67,78,56
USW00013882,5/20/1993,0.1,0,0,60,70,50
USW00013882,5/21/1993,0,0,0,56.5,68,45
USW00013882,5/22/1993,0,0,0,58.5,75,42
USW00013882,5/23/1993,0,0,0,64,81,47
USW00013882,5/24/1993,0,0,0,67.5,83,52
USW00013882,5/25/1993,0.56,0,0,67,70,64
USW00013882,5/26/1993,0,0,0,68,79,57
USW00013882,5/27/1993,0,0,0,68.5,86,51
USW00013882,5/28/1993,0,0,0,74.5,88,61
USW00013882,5/29/1993,0.05,0,0,77.5,90,65
USW00013882,5/30/1993,0.57,0,0,75,88,62
USW00013882,5/31/1993,0.41,0,0,71.5,80,63
USW00013882,6/1/1993,0,0,0,66,76,56
